65775	0.558
68085	-0.083
79020	0.39
86305	0.544
527595	0.51
565710	-0.074
567738	-0.053
568322	-0.105
568794	-0.123
569791	0.12
713974	-0.772
714545	-0.315
718655	-1.915
721555	-0.618
723959	-0.268
728993	-0.865
732748	-1.685
734428	-0.921
752765	-2.117
753567	-2.391
755218	-1.284
756114	-0.499
756792	-0.752
757128	-0.539
757964	-0.171
758607	-0.293
759502	0.077
760274	-0.141
760970	-1.701
761603	-2.314
761976	-2.558
762490	-0.807
764778	-0.189
765232	-0.041
765971	0.07
766406	-1.092
767439	-1.021
768417	-0.593
768951	-0.502
769705	-0.51
770030	-1.262
770873	0.056
771687	-0.115
772292	1.057
772753	0.925
773285	-0.125
776360	-0.991
777901	-0.097
778491	0.241
779135	0.091
779984	-0.288
780555	1.498
781235	0.145
782552	-0.68
783157	0.09
783611	-0.285
784738	0.151
785643	0.529
786712	0.09
787113	0.104
787706	-0.151
788065	0.29
790286	0.052
791442	0.21
792282	0.199
792737	-1.572
793164	-1.964
794365	-0.554
795078	-1.54
796024	-0.063
796580	1.309
797581	0.792
797949	-0.229
798571	-0.606
799695	-0.102
800784	0.218
805098	0.12
807758	0.153
812538	-0.138
814910	0.185
821946	0.036
822792	1.163
826133	-0.981
826499	-1.372
829631	1.049
834159	0.057
835193	-0.523
835711	-0.531
836187	-0.383
837183	-0.241
838323	0.568
838845	-1.074
840796	0.006
842085	-0.902
842966	-0.694
843281	-1.191
846260	0.241
846917	-1.695
847456	-0.199
848143	0.026
848616	0.118
849068	-0.265
849529	-0.152
851273	-0.766
852365	0.161
852680	-0.324
853343	-1.337
854076	-0.353
854859	-0.185
855656	-0.277
856027	-0.372
857234	0.009
858455	-0.248
859015	0.001
861130	-0.156
861719	-0.418
862546	0.493
863255	-0.045
864302	0.42
866263	0.326
867461	0.03
868312	0.028
869110	0.03
871260	0.125
871959	-0.051
872601	-0.291
873127	-0.083
873664	-0.812
874396	0.064
875278	-0.061
876148	-0.341
876943	-0.05
877651	-0.273
878617	-0.185
879108	-0.454
879537	-0.293
880590	-0.444
881278	-0.7
882067	-0.516
882583	-0.21
882917	0.126
883478	0.024
884003	-0.111
884469	-1.296
884914	0.125
886616	-0.067
888182	0.156
888444	-0.394
889348	-0.328
889820	0.084
890478	-0.974
891405	-0.479
891939	-0.048
892625	-0.169
894089	-0.354
896939	-0.246
897572	0.379
898024	-0.661
898622	0.007
901807	0.084
903201	-0.093
903841	0.028
904245	-0.127
905301	-2.872
906243	-0.985
907005	-0.149
907724	-0.149
908954	-0.141
909812	-0.076
910384	0.064
911111	-0.776
911554	-0.699
914301	-0.259
914660	-0.038
915681	0.113
916836	0.02
917614	0.009
921114	-0.363
921958	-0.55
923329	-0.449
926438	-0.13
926839	-0.329
927435	-1.372
927900	-0.761
928376	-2.968
928852	0.258
930245	-0.314
931034	-0.291
933350	-0.114
935611	-0.054
935764	-0.106
938384	-0.086
938941	-0.286
939729	0.08
940504	-0.672
941263	-0.229
941792	0.234
942606	-1.482
943591	-0.069
943826	0.071
944626	-0.336
945944	-0.031
947151	-1.572
948436	-0.996
949273	-0.582
949942	-0.939
950492	-0.395
950922	0.009
955024	-0.104
955844	-0.141
956403	0.238
957172	-0.69
957731	0.298
958491	-0.011
958805	-0.089
959550	-0.37
960871	0.264
962032	-0.139
